IDS_TEXTCLIENT_INC_000001	Navigator
IDS_TEXTCLIENT_INC_000002	Send Mail
IDS_TEXTCLIENT_INC_000003	Inbox
IDS_TEXTCLIENT_INC_000004	Character
IDS_TEXTCLIENT_INC_000005	Inventory
IDS_TEXTCLIENT_INC_000006	Private Shop
IDS_TEXTCLIENT_INC_000007	Skill
IDS_TEXTCLIENT_INC_000008	Macro
IDS_TEXTCLIENT_INC_000009	Style
IDS_TEXTCLIENT_INC_000010	Motion
IDS_TEXTCLIENT_INC_000011	Emoticon
IDS_TEXTCLIENT_INC_000012	Trade
IDS_TEXTCLIENT_INC_000013	Quest Diary
IDS_TEXTCLIENT_INC_000014	PvP
IDS_TEXTCLIENT_INC_000015	Friend
IDS_TEXTCLIENT_INC_000016	Party
IDS_TEXTCLIENT_INC_000017	Guild
IDS_TEXTCLIENT_INC_000018	Club
IDS_TEXTCLIENT_INC_000019	Chatting
IDS_TEXTCLIENT_INC_000020	Message
IDS_TEXTCLIENT_INC_000021	Messenger
IDS_TEXTCLIENT_INC_000022	Email
IDS_TEXTCLIENT_INC_000023	BBS
IDS_TEXTCLIENT_INC_000024	User Search
IDS_TEXTCLIENT_INC_000025	Guild Search
IDS_TEXTCLIENT_INC_000026	Club Search
IDS_TEXTCLIENT_INC_000027	Shop Search
IDS_TEXTCLIENT_INC_000028	Video and Audio Option
IDS_TEXTCLIENT_INC_000029	Audio Settings
IDS_TEXTCLIENT_INC_000030	BGM Settings
IDS_TEXTCLIENT_INC_000031	Change Password
IDS_TEXTCLIENT_INC_000032	Window Effect
IDS_TEXTCLIENT_INC_000033	Set chat filter
IDS_TEXTCLIENT_INC_000034	Mouse Sensitivity
IDS_TEXTCLIENT_INC_000035	My Information
IDS_TEXTCLIENT_INC_000036	Hotkey
IDS_TEXTCLIENT_INC_000037	Theme
IDS_TEXTCLIENT_INC_000038	Options
IDS_TEXTCLIENT_INC_000039	Game Option
IDS_TEXTCLIENT_INC_000040	Notice
IDS_TEXTCLIENT_INC_000041	Event Information
IDS_TEXTCLIENT_INC_000042	Version
IDS_TEXTCLIENT_INC_000043	Development Schedule
IDS_TEXTCLIENT_INC_000044	Help
IDS_TEXTCLIENT_INC_000045	Tips
IDS_TEXTCLIENT_INC_000046	FAQ
IDS_TEXTCLIENT_INC_000047	Vote
IDS_TEXTCLIENT_INC_000048	Participate in Event
IDS_TEXTCLIENT_INC_000049	Screenshot
IDS_TEXTCLIENT_INC_000050	Logout
IDS_TEXTCLIENT_INC_000051	Quit
IDS_TEXTCLIENT_INC_000052	Taskbar
IDS_TEXTCLIENT_INC_000053	Applet
IDS_TEXTCLIENT_INC_000054	Managing Function
IDS_TEXTCLIENT_INC_000055	World
IDS_TEXTCLIENT_INC_000056	Dialog
IDS_TEXTCLIENT_INC_000057	Debug
IDS_TEXTCLIENT_INC_000058	Status
IDS_TEXTCLIENT_INC_000059	Control Test
IDS_TEXTCLIENT_INC_000060	Community
IDS_TEXTCLIENT_INC_000061	Communication
IDS_TEXTCLIENT_INC_000062	Search
IDS_TEXTCLIENT_INC_000063	Option
IDS_TEXTCLIENT_INC_000064	Information
IDS_TEXTCLIENT_INC_000065	Helper
IDS_TEXTCLIENT_INC_000066	Join
IDS_TEXTCLIENT_INC_000067	Etc.
IDS_TEXTCLIENT_INC_000068	Premium Items
IDS_TEXTCLIENT_INC_000069	Flyff Shop
IDS_TEXTCLIENT_INC_000070	Duration
IDS_TEXTCLIENT_INC_000071	A mini-map to help you find your way.
IDS_TEXTCLIENT_INC_000072	Shows detailed information about your character.
IDS_TEXTCLIENT_INC_000073	Opens your inventory.
IDS_TEXTCLIENT_INC_000074	Allows you to open a Private Shop.
IDS_TEXTCLIENT_INC_000075	Displays the Skills Menu. 
IDS_TEXTCLIENT_INC_000076	Create shortcuts for commands or text.
IDS_TEXTCLIENT_INC_000077	What is your style?
IDS_TEXTCLIENT_INC_000078	Use emoticons and motions to express yourself.
IDS_TEXTCLIENT_INC_000079	Use emoticons and motions to express yourself.
IDS_TEXTCLIENT_INC_000080	Trade items or Penya with other players.
IDS_TEXTCLIENT_INC_000081	Shows the Quest Diary.
IDS_TEXTCLIENT_INC_000082	Show duel information.
IDS_TEXTCLIENT_INC_000083	Change your hair color or style.
IDS_TEXTCLIENT_INC_000084	Manage your Friends List
IDS_TEXTCLIENT_INC_000085	Manage your Party.
IDS_TEXTCLIENT_INC_000086	Manage your Guild.
IDS_TEXTCLIENT_INC_000087	Manage your Club.
IDS_TEXTCLIENT_INC_000088	Open a chat window.
IDS_TEXTCLIENT_INC_000089	Send a message to other players.
IDS_TEXTCLIENT_INC_000090	Send a message to other players.
IDS_TEXTCLIENT_INC_000091	Write an E-mail.
IDS_TEXTCLIENT_INC_000092	Use forum.
IDS_TEXTCLIENT_INC_000093	Search characters.
IDS_TEXTCLIENT_INC_000094	Search Guild.
IDS_TEXTCLIENT_INC_000095	Club Search
IDS_TEXTCLIENT_INC_000096	Shop Search
IDS_TEXTCLIENT_INC_000097	Video Options
IDS_TEXTCLIENT_INC_000098	Audio Options
IDS_TEXTCLIENT_INC_000099	BGM Options
IDS_TEXTCLIENT_INC_000100	Change Password
IDS_TEXTCLIENT_INC_000101	Window Effects
IDS_TEXTCLIENT_INC_000102	Filter Slang
IDS_TEXTCLIENT_INC_000103	Mouse Options
IDS_TEXTCLIENT_INC_000104	My Information
IDS_TEXTCLIENT_INC_000105	Shortcut Option
IDS_TEXTCLIENT_INC_000106	Interface Theme
IDS_TEXTCLIENT_INC_000107	Other Options
IDS_TEXTCLIENT_INC_000108	Game Options
IDS_TEXTCLIENT_INC_000109	Notice
IDS_TEXTCLIENT_INC_000110	Event
IDS_TEXTCLIENT_INC_000111	Current Version
IDS_TEXTCLIENT_INC_000112	Development Schedule
IDS_TEXTCLIENT_INC_000113	Help
IDS_TEXTCLIENT_INC_000114	Tips
IDS_TEXTCLIENT_INC_000115	FAQ
IDS_TEXTCLIENT_INC_000116	Vote
IDS_TEXTCLIENT_INC_000117	Join Event
IDS_TEXTCLIENT_INC_000118	Screenshot
IDS_TEXTCLIENT_INC_000119	Use Total Functions
IDS_TEXTCLIENT_INC_000120	GM Management
IDS_TEXTCLIENT_INC_000121	World Window
IDS_TEXTCLIENT_INC_000122	Chat Window
IDS_TEXTCLIENT_INC_000123	Debug Window
IDS_TEXTCLIENT_INC_000124	Character Status
IDS_TEXTCLIENT_INC_000125	Control Test
IDS_TEXTCLIENT_INC_000126	Exit Program
IDS_TEXTCLIENT_INC_000127	Logout 
IDS_TEXTCLIENT_INC_000128	Opens the Premium Item Shop.
IDS_TEXTCLIENT_INC_000129	Displays the duration of Cash Shop items.
IDS_TEXTCLIENT_INC_000130	Welcome to FlyFF!
IDS_TEXTCLIENT_INC_000131	Disconnecting... Please wait.
IDS_TEXTCLIENT_INC_000132	Congratulations!  You have advanced to the %s job class.
IDS_TEXTCLIENT_INC_000133	The next step of the quest has started.
IDS_TEXTCLIENT_INC_000134	Quest Complete!
IDS_TEXTCLIENT_INC_000135	You receive %s.
IDS_TEXTCLIENT_INC_000136	Now it's time to choose your job.
IDS_TEXTCLIENT_INC_000137	You've received the quest: %s. Open your Quest Window for details.
IDS_TEXTCLIENT_INC_000138	Congratulations!  %s has been completed.
IDS_TEXTCLIENT_INC_000139	You have cancelled the quest: %s.
IDS_TEXTCLIENT_INC_000140	Please wait until it has been started.
IDS_TEXTCLIENT_INC_000141	Move to the Battle Zone!
IDS_TEXTCLIENT_INC_000142	Start!
IDS_TEXTCLIENT_INC_000143	Finish!
IDS_TEXTCLIENT_INC_000144	Ready!
IDS_TEXTCLIENT_INC_000145	Result: Rank %d / Belongs to: %s / # of Survivors: %d
IDS_TEXTCLIENT_INC_000146	Move to the Battle Zone!
IDS_TEXTCLIENT_INC_000147	Start!
IDS_TEXTCLIENT_INC_000148	You cannot use that item.
IDS_TEXTCLIENT_INC_000149	Dead men tell no tales....
IDS_TEXTCLIENT_INC_000150	You are in Observation Mode. Chat is not permitted.
IDS_TEXTCLIENT_INC_000151	Sever: %s / Entire No: %d
IDS_TEXTCLIENT_INC_000152	Playing time %d min / Belongs to %s / No. of Survivors: %d / No. of Dead: %d
IDS_TEXTCLIENT_INC_000153	You are now on the entry list.
IDS_TEXTCLIENT_INC_000154	You cannot register your name on the entry list at this time.
IDS_TEXTCLIENT_INC_000155	Level up! You can increase your stats in your character window.
IDS_TEXTCLIENT_INC_000156	Press Lodestar to resurrect (Nearest Town) or use a Premium Item from the Flyff Shop to resurrect in place.
IDS_TEXTCLIENT_INC_000157	You can feel yourself getting stronger!
IDS_TEXTCLIENT_INC_000158	You can feel your body flowing with more energy!
IDS_TEXTCLIENT_INC_000159	You can feel yourself getting more nimble!
IDS_TEXTCLIENT_INC_000160	You can feel yourself getting stronger!
IDS_TEXTCLIENT_INC_000161	You have learned more about your chosen profession.
IDS_TEXTCLIENT_INC_000162	Flying level up!
IDS_TEXTCLIENT_INC_000163	You've learned %s.  You can now allocate skill points to this ability.
IDS_TEXTCLIENT_INC_000164	You are learning new attack patterns!
IDS_TEXTCLIENT_INC_000165	This area is inaccessible.
IDS_TEXTCLIENT_INC_000166	In order to ride a flying vehicle, you must reach level 20.
